ID,Name,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,Category,CatchRate,EggCycles,LevelingRate,BaseFriendship,IsLegendary,IsMythical,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy,Ability 1,Ability 2,NoGender,IsMega,FightsWon,TotalFights,WinPercentage,Type_Bug,Type_Dark,Type_Dragon,Type_Electric,Type_Fairy,Type_Fighting,Type_Fire,Type_Flying,Type_Ghost,Type_Grass,Type_Ground,Type_Ice,Type_Normal,Type_Poison,Type_Psychic,Type_Rock,Type_Steel,Type_Water,Egg_Amorphous,Egg_Bug,Egg_Ditto,Egg_Dragon,"Egg_Dragon', 'Flying",Egg_Fairy,"Egg_Fairy', 'Mineral",Egg_Field,"Egg_Field', 'Fairy","Egg_Field', 'Human-Like",Egg_Flying,Egg_Grass,Egg_Human-Like,"Egg_Human-Like', 'Amorphous",Egg_Mineral,Egg_Monster,"Egg_Monster', 'Dragon","Egg_Monster', 'Field","Egg_Monster', 'Grass","Egg_Monster', 'Water 1",Egg_No Eggs Discovered,Egg_Water 1,Egg_Water 2,"Egg_Water 2', 'Dragon",Egg_Water 3
1,Bulbasaur,Chlorophyll,1,45.0,49.0,49.0,65.0,65.0,45.0,318.0,6.9,0.7,0.875,Seed Pokémon,45,20,1059860,70,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Overgrow,None,0,0,37,133,0.278195,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
2,Ivysaur,Chlorophyll,1,60.0,62.0,63.0,80.0,80.0,60.0,405.0,13.0,1.0,0.875,Seed Pokémon,45,20,1059860,70,0,0,0,2,3,Bulbasaur,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Overgrow,None,0,0,46,121,0.380165,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
3,Venusaur,Chlorophyll,1,80.0,82.0,83.0,100.0,100.0,80.0,525.0,100.0,2.0,0.875,Seed Pokémon,45,20,1059860,70,0,0,1,3,3,Ivysaur,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Overgrow,None,0,0,89,132,0.674242,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
4,Mega Venusaur,None,1,80.0,100.0,123.0,122.0,120.0,80.0,625.0,155.5,2.4,0.875,Seed Pokémon,45,20,1059860,70,0,0,1,3,3,Venusaur,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,2.0,1.0,1.0,1.0,0.5,Thick Fat,None,0,1,70,125,0.56,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,1,0,0,0.0,0
5,Charmander,Solar Power,1,39.0,52.0,43.0,60.0,50.0,65.0,309.0,8.5,0.6,0.875,Lizard Pokémon,45,20,1059860,70,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,Blaze,None,0,0,55,112,0.491071,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
6,Charmeleon,Solar Power,1,58.0,64.0,58.0,80.0,65.0,80.0,405.0,19.0,1.1,0.875,Flame Pokémon,45,20,1059860,70,0,0,0,2,3,Charmander,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,Blaze,None,0,0,64,118,0.542373,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
7,Charizard,Solar Power,1,78.0,84.0,78.0,109.0,85.0,100.0,534.0,90.5,1.7,0.875,Flame Pokémon,45,20,1059860,70,0,0,1,3,3,Charmeleon,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,Blaze,None,0,0,115,133,0.864662,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
8,Mega Charizard X,None,1,78.0,130.0,111.0,130.0,85.0,100.0,634.0,110.5,1.7,0.875,Flame Pokémon,45,20,1059860,70,0,0,1,3,3,Charizard,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.25,1.0,0.25,0.5,1.0,1.0,2.0,1.0,1.0,Tough Claws,None,0,1,119,139,0.856115,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1.0,0.0,0.0,0.0,1,0,0,0.0,0
9,Mega Charizard Y,None,1,78.0,104.0,78.0,159.0,115.0,100.0,634.0,100.5,1.7,0.875,Flame Pokémon,45,20,1059860,70,0,0,1,3,3,Charizard,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,Drought,None,0,1,114,135,0.844444,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1.0,0.0,0.0,0.0,1,0,0,0.0,0
10,Squirtle,Rain Dish,1,44.0,48.0,65.0,50.0,64.0,43.0,314.0,9.0,0.5,0.875,Tiny Turtle Pokémon,45,20,1059860,70,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Torrent,None,0,0,19,117,0.162393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0
